"Category","Venue","Sport(s)","City","Website","Contact information","Address","How players buy access","Source"
"Pickleball","Chicken N Pickle","Pickleball","Grapevine","https://chickennpickle.com/grapevine/","817-766-6320 | Event inquiry on website","4600 Merlot Ave, Grapevine, TX 76051","Court booking; private events","https://chickennpickle.com/grapevine/"
"Pickleball","The Sandy Pickle","Pickleball; sand volleyball","Dallas","https://playsandypickle.com/","469-659-6387 | picklemethis@playsandypickle.com","5683 Village Glen Dr, Dallas, TX 75206","Court access and private event bookings","https://playsandypickle.com/"
"Pickleball","At Fault","Pickleball","Farmers Branch","https://www.at-fault.com/","469-364-6689 | event inquiry on website","2330 Jett St, Farmers Branch, TX 75234","Court booking, events, tournaments, buyouts","https://www.at-fault.com/event-inquiry"
"Pickleball","Paddle Club","Pickleball","Dallas","https://paddleclubusa.com/","214-377-8165 | contact@paddleclubusa.com","2119 Langston Ct, Dallas, TX 75235","Reserve a court; parties and gatherings","https://paddleclubusa.com/"
"Pickleball","DFW Indoor Pickleball – Farmers Branch","Pickleball","Farmers Branch","https://www.dfwindoorpickleball.com/","214-427-5355 | play@dfwindoorpickleball.com","4801 Spring Valley Rd, Suite 108, Farmers Branch, TX 75244","Court booking, open play and membership","https://www.dfwindoorpickleball.com/contact-8"
"Pickleball","DFW Indoor Pickleball – Grand Prairie","Pickleball","Grand Prairie","https://www.dfwindoorpickleball.com/","214-427-5355 | play@dfwindoorpickleball.com","2625 W Pioneer Pkwy, Grand Prairie, TX 75051","Automated two-court booking","https://www.dfwindoorpickleball.com/contact-8"
"Pickleball","Dallas Indoor Pickleball Club","Pickleball","Carrollton","https://dallasindoorpickleballclub.com/","214-551-7434 | info@dallasindoorpickleballclub.com","2661 Midway Rd, Suite 200, Carrollton, TX 75006","24-hour self-service court booking","https://dallasindoorpickleballclub.com/"
"Pickleball","Pickler Universe","Pickleball","Carrollton","https://www.pickleruniverse.com/","469-629-3465 | info@pickleruniverse.com","2800 N Interstate 35E, Carrollton, TX 75007","Court reservations, clinics and open play","https://www.pickleruniverse.com/locations"
"Pickleball","The Grove Pickleball – Downtown","Pickleball","Dallas","https://grovepickleball.com/","214-308-1457 | admin@grovepickleball.com","2354 Hardwick St, Dallas, TX 75208","Public court reservations, leagues and events","https://grovepickleball.com/the-grove-downtown/"
"Pickleball","The Grove Pickleball – Design District","Pickleball","Dallas","https://grovepickleball.com/","214-308-1457 | admin@grovepickleball.com","1461 Wycliff Ave, Dallas, TX 75207","Public court reservations, leagues and events","https://grovepickleball.com/faq/"
